"status_92", "CA Not Supported"
"status_93", "Invalid Card"
"status_94", "Invalid Date"
"status_95", "Invalid Cancellation"
"status_96", "Invalid Last Payment"
"status_97", "No CA Support"
"status_98", "Not supported for this bank"
"status_99", "Invalid Account Ref"
"status_100", "Merchant not subscribed for 3DSecure"
"status_101", "Missing 3DSecure elements"
"status_102", "Missing or invalid Secure attribute"
"status_103", "Invalid capturemethod for 3DSecure"
"status_107", "Incorrect use of 3DSecure elements"
"status_108", "Card scheme does not support 3D secure"
"status_120", "Not subscribed"
"status_121", "Duplicate reference"
"status_122", "Non-GBP amount specified."
"status_123", "Non-UK Issued card used."
"status_124", "Cardname is over 18 characters long."
"status_125", "Direct Credit system error."
"status_126", "Unknown payment details."
"status_127", "Transaction limit has been exceeded."
"status_128", "Direct Credit transaction has already been cancelled."
"status_129", "Direct Credit has been submitted to BACS."
"status_134", "Invalid format for Account Name"
"status_135", "Details Failed Bank Validation check"
"status_136", "Bank Details fail BACS check"
"status_137", "Unable to locate matching DDI transaction"
"status_130", "Invalid to use both policies"
"status_131", "Invalid ExtendedPolicy definition"
"status_132", "Expected 3 or 4 digit CV2 number"
"status_133", "Extended Policy not supported"
"status_140", "Merchant not subscribed to DD CA"
"status_141", "Non-GBP not supported for DD CA"
"status_142", "No matching DD setup"
"status_143", "Invalid last flagging"
"status_144", "DD Setup not active"
"status_145", "DD Setup is in accreditation mode"
"status_146", "DD Setup is in disabled mode"
"status_150", "3DS Payer Verification Required"
"status_151", "3DS Invalid Transaction type"
"status_152", "3DS Manual Authorization not supported"
"status_153", "3DS verify element missing"
"status_154", "3DS Invalid verify value'"
"status_157", "3DS Merchant not enabled"
"status_158", "3DS scheme not supported"
"status_159", "3DS No VERes from DS"
"status_160", "3DS Invalid VERes from DS"
"status_161", "3DS call auth centre"
"status_162", "3DS Card not Enrolled"
"status_163", "3DS Merchant not enabled for scheme acquirer"
"status_164", "3DS Acquirer not supported"
"status_165", "3DS Merchant not enabled for acquirer"
"status_166", "3DS purchase_datetime format invalid"
"status_167", "3DS Invalid reference"
"status_168", "3DS txn cannot be authorized"
"status_169", "3DS Merchant in test-mode supplied non-magic card"
"status_170", "3DS No DS URL for card scheme"
"status_171", "3DS pares_message supplied for non-enrolled card"
"status_172", "3DS pares_message missing for enrolled card"
"status_173", "3DS Card not Enrolled in Cache"
"status_174", "3DS Invalid pares signature"
"status_175", "3DS No corresponding pareq found"
"status_176", "3DS invalid pares"
"status_177", "3DS invalid pareq"
"status_178", "3DS pareq vs pares mismatch"
"status_179", "3DS Payer failed Verification"
"status_180", "3DS No Support for CA"
"status_181", "3DS No corresponding referral"
"status_182", "3DS Referral timelimit exceeded"
"status_183", "3DS Verification Bypassed"
"status_184", "3DS Expired Awaiting Authorization"
"status_185", "3DS Expired Referral"
"status_186", "3DS Invalid VEReq"
"status_187", "Unable to Verify"
"status_188", "Unable to Authenticate"
"status_189", "3DS International Maestro card not enrolled"
"status_600", "Authentication can only be performed for enrolled cards"
"status_601", "No 3-D Secure enrollment found for reference supplied"
"status_602", "3-D Secure enrollment check already validated for reference supplied"
"status_603", "No 3-D Secure authentication found for reference supplied"
"status_604", "Transaction already authorised for reference supplied"
"status_605", "threedsecure_authorization_request not permitted on transactions of this type."
"status_606", "Invalid PARes"
"status_607", "MPI authentication has expired"
"status_608", "Invalid currency"
"status_609", "Currency must be supplied"
"status_610", "No mid found for currency or 3DS scheme not supported"
"status_611", "Unable to process authorisation"
"status_612", "Unable to process authorisation"
"status_613", "MPI System Configuration Error"
"status_620", "Unsupported Method"
"status_621", "Fexco currency error"
"status_622", "Invalid Fexco exchange_rate"
"status_623", "txn_refund not supported"
"status_624", "Not subscribed for Fexco DCC"
"status_10145", "3DS MPI System Error"
"status_640", "Merchant mandated 3-D Secure transaction, none attempted"
"status_641", "Merchant attempted 3-D Secure transaction override, but is not permitted"
"status_191", "Field not applicable to CA setup"
"status_192", "Failed to find corresponding CA account"
"status_193", "Missing CA environment attribute"
"status_194", "Invalid use of CA environment attribute"
